100_time:0.005	0.004	0.005	0.003	0.005	0.004	0.004	0.003	0.004	0.003
100_mcips:0.99	1.2375	0.99	1.65	0.99	1.2375	1.2375	1.65	1.2375	1.65
1000_time:0.011	0.013	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.007
1000_mcips:45.409	38.423	62.438	62.438	62.438	62.438	62.438	62.438	62.438	71.357
5000_time:0.033	0.032	0.026	0.034	0.029	0.028	0.032	0.032	0.032	0.033
5000_mcips:378.712	390.547	462.870	367.574	430.948	446.339	390.547	390.547	390.547	378.712
10000_time:0.090	0.083	0.083	0.084	0.060	0.080	0.089	0.084	0.085	0.082
10000_mcips:555.5	602.349	602.349	595.179	833.25	624.938	561.742	595.179	588.176	609.696
50000_time:0.726	0.703	0.711	0.727	0.738	0.743	0.726	0.755	0.715	0.724
50000_mcips:1721.729	1778.058	1758.052	1719.36	1693.733	1682.335	1721.729	1655.596	1748.217	1726.485







	100:	1000:	5000:	10000:	50000:
1	0,005	0,011	0,033	0,090	0,726
2	0,004	0,013	0,032	0,083	0,703
3	0,005	0,008	0,027	0,083	0,711
4	0,003	0,008	0,034	0,084	0,727
5	0,005	0,008	0,029	0,060	0,738
6	0,004	0,008	0,028	0,080	0,743
7	0,004	0,008	0,032	0,089	0,726
8	0,003	0,008	0,032	0,084	0,755
9	0,004	0,008	0,032	0,085	0,715
10	0,003	0,007	0,033	0,082	0,724
	
avg tid	0.004	0.0087	0.0312	0.082	0.7268
avgmcip	1.188	59.226	402.734	616.836	1720.529

